dt_venda,key_loja,cod_produto,qtd_vendas,vlr_venda_tabelado_mean,vlr_desconto_mean,categoria_produto,sub_categoria_produto,linha_produto
2024-02-26,6,48062,13,963.5999999999999,289.6984615384615,217.0,422944,306420
2024-02-26,6,48281,17,393.5470588235294,116.02235294117648,217.0,422944,731659
2024-02-26,6,48282,5,230.7,0.0,217.0,422944,731659
2024-02-26,6,48635,4,419.7,0.0,157293.0,483679,284036
2024-02-26,6,48672,1,329.4,112.5,217.0,422944,731659
2024-02-26,6,48675,9,284.5,84.64,217.0,422944,731659
2024-02-26,6,49823,1,140.7,0.0,217.0,422944,390554
2024-02-26,6,49890,1,134.7,0.0,217.0,422944,390554
2024-02-26,6,49945,1,140.7,0.0,217.0,422944,390554
2024-02-26,6,51387,3,1229.4,336.95,157293.0,483679,212257
2024-02-26,6,51395,6,1434.3000000000002,367.25499999999994,157293.0,311781,212257
2024-02-26,6,52004,9,358.8666666666666,116.46333333333334,217.0,422944,731659
2024-02-26,6,52005,2,251.54999999999998,81.10499999999999,217.0,422944,731659
2024-02-26,6,52008,2,164.7,33.0,217.0,422944,731659
2024-02-26,6,54184,1,137.7,0.0,217.0,422944,390554
2024-02-26,6,74096,2,509.7,93.03,157293.0,483679,264366
2024-02-26,6,74722,2,494.7,0.0,157293.0,483679,306420
2024-02-26,6,76666,2,629.55,63.0,157293.0,311781,109471
2024-02-26,6,82045,6,653.65,223.785,217.0,422944,731659
2024-02-26,6,82046,1,329.4,112.5,217.0,422944,731659
2024-02-26,6,82250,3,227.6,79.67999999999999,217.0,422944,731659
2024-02-26,6,83053,1,134.7,0.0,217.0,422944,390554
2024-02-26,6,83372,3,424.5,80.0,157293.0,483679,264366
2024-02-26,8,1428,2,230.7,69.21,217.0,422944,731659
2024-02-26,8,1650,1,167.7,0.0,217.0,422944,731659
2024-02-26,8,25458,6,419.7,0.0,157293.0,483679,284036
2024-02-26,8,29226,1,389.7,0.0,217.0,422944,200277
2024-02-26,8,48060,41,902.9634146341464,213.36292682926828,217.0,422944,306420
2024-02-26,8,48062,64,774.028125,230.08499999999998,217.0,422944,306420
2024-02-26,8,48281,61,416.0163934426229,122.31688524590164,217.0,422944,731659
2024-02-26,8,48282,4,230.7,0.0,217.0,422944,731659
2024-02-26,8,48352,2,554.7,0.0,157293.0,483679,85436
2024-02-26,8,48545,1,134.7,0.0,217.0,422944,390554
2024-02-26,8,48635,1,419.7,0.0,157293.0,483679,284036
2024-02-26,8,48645,2,389.7,0.0,955075.0,422944,200277
2024-02-26,8,48672,2,905.85,297.75,217.0,422944,731659
2024-02-26,8,48675,68,343.910294117647,98.73529411764706,217.0,422944,731659
2024-02-26,8,48676,11,232.77272727272728,0.0,217.0,422944,731659
2024-02-26,8,49823,1,140.7,0.0,217.0,422944,390554
2024-02-26,8,49825,2,566.1,0.0,217.0,422944,390554
2024-02-26,8,49890,1,134.7,0.0,217.0,422944,390554
2024-02-26,8,49893,2,188.7,0.0,217.0,422944,390554
2024-02-26,8,49897,1,188.7,0.0,217.0,422944,390554
2024-02-26,8,49898,1,134.7,0.0,217.0,422944,390554
2024-02-26,8,49943,2,188.7,0.0,217.0,422944,390554
2024-02-26,8,49945,2,140.7,28.14,217.0,422944,390554
2024-02-26,8,49954,2,230.7,0.0,217.0,422944,731659
2024-02-26,8,50651,1,989.4,296.82,157293.0,311781,736254
2024-02-26,8,51237,1,209.7,0.0,217.0,422944,390554
2024-02-26,8,51387,4,614.7,120.0,157293.0,483679,212257
2024-02-26,8,51395,1,614.7,120.0,157293.0,311781,212257
2024-02-26,8,52004,16,331.63124999999997,100.56937500000001,217.0,422944,731659
2024-02-26,8,52005,13,232.2,69.51,217.0,422944,731659
2024-02-26,8,52008,1,164.7,33.0,217.0,422944,731659
2024-02-26,8,53508,3,188.69999999999996,0.0,217.0,422944,390554
2024-02-26,8,74096,7,655.3285714285714,119.61,157293.0,483679,264366
2024-02-26,8,76666,1,839.4,84.0,157293.0,311781,109471
2024-02-26,8,77684,3,389.7,58.44,217.0,422944,306420
2024-02-26,8,77690,15,352.23999999999995,88.032,217.0,422944,390554
2024-02-26,8,77989,2,899.7,0.0,157293.0,483679,306420
2024-02-26,8,82045,18,333.23333333333335,100.975,217.0,422944,731659
2024-02-26,8,82046,1,164.7,33.0,217.0,422944,731659
